S_CUSTNO;COGNITIONSOURCE;I_CUSTOMERSINCE
1000096;CUSTOMERSINCE;1991
1002955;CUSTOMERSINCE;1991
1002994;CUSTOMERSINCE;1989
1003759;CUSTOMERSINCE;1990
1003900;CUSTOMERSINCE;1986
1003902;CUSTOMERSINCE;1987
1003905;CUSTOMERSINCE;2009
1003913;CUSTOMERSINCE;1990
1003918;CUSTOMERSINCE;1990
1003920;CUSTOMERSINCE;1989
1003922;CUSTOMERSINCE;1987
1003924;CUSTOMERSINCE;1987
1003926;CUSTOMERSINCE;2008
1003928;CUSTOMERSINCE;1987
1003930;CUSTOMERSINCE;2004
1003931;CUSTOMERSINCE;1998
1003934;CUSTOMERSINCE;2004
1003938;CUSTOMERSINCE;1987
1003944;CUSTOMERSINCE;1987
1003948;CUSTOMERSINCE;2003
1003950;CUSTOMERSINCE;2011
1003956;CUSTOMERSINCE;1988
1003960;CUSTOMERSINCE;2004
1003962;CUSTOMERSINCE;2004
1003963;CUSTOMERSINCE;2004
1003965;CUSTOMERSINCE;1988
1003971;CUSTOMERSINCE;1988
1003972;CUSTOMERSINCE;2002
1003973;CUSTOMERSINCE;2004
1003974;CUSTOMERSINCE;1988
1003976;CUSTOMERSINCE;1990
1003980;CUSTOMERSINCE;2004
1003981;CUSTOMERSINCE;1988
1003982;CUSTOMERSINCE;1988
1003987;CUSTOMERSINCE;1988
1003990;CUSTOMERSINCE;2003
1003992;CUSTOMERSINCE;1988
1003994;CUSTOMERSINCE;2003
1003996;CUSTOMERSINCE;2003
1003997;CUSTOMERSINCE;2011
1004002;CUSTOMERSINCE;1990
1004005;CUSTOMERSINCE;1988
1004010;CUSTOMERSINCE;1990
1004011;CUSTOMERSINCE;1989
1004012;CUSTOMERSINCE;1988
1004013;CUSTOMERSINCE;1988
1004014;CUSTOMERSINCE;1999
1004015;CUSTOMERSINCE;1988
1004019;CUSTOMERSINCE;1989
1004021;CUSTOMERSINCE;1998
1004027;CUSTOMERSINCE;1991
1004032;CUSTOMERSINCE;1989
1004035;CUSTOMERSINCE;1989
1004036;CUSTOMERSINCE;1989
1004040;CUSTOMERSINCE;1989
1004041;CUSTOMERSINCE;2004
1004048;CUSTOMERSINCE;1990
1004055;CUSTOMERSINCE;1989
1004061;CUSTOMERSINCE;2000
1004064;CUSTOMERSINCE;2004
1004072;CUSTOMERSINCE;1989
1004074;CUSTOMERSINCE;2004
