S_CUSTNO;COGNITIONOBJECT;ALIVE;I_YEAR
1000096;ISALIVE;1;2014
1000096;ISALIVE;1;2015
1000096;ISALIVE;0;2016
1002955;ISALIVE;1;2014
1002955;ISALIVE;1;2015
1002955;ISALIVE;1;2016
1002955;ISALIVE;1;2017
1002955;ISALIVE;1;2018
1002955;ISALIVE;1;2019
1002955;ISALIVE;0;2020
1002994;ISALIVE;1;2014
1002994;ISALIVE;1;2015
1002994;ISALIVE;1;2016
1002994;ISALIVE;1;2017
1002994;ISALIVE;1;2018
1002994;ISALIVE;1;2019
1002994;ISALIVE;1;2020
1002994;ISALIVE;1;2021
1002994;ISALIVE;1;2022
1003759;ISALIVE;1;2014
1003759;ISALIVE;1;2015
1003759;ISALIVE;1;2016
1003759;ISALIVE;1;2017
1003759;ISALIVE;1;2018
1003759;ISALIVE;1;2019
1003759;ISALIVE;1;2020
1003759;ISALIVE;1;2021
1003759;ISALIVE;1;2022
1003900;ISALIVE;1;2014
1003900;ISALIVE;1;2015
1003900;ISALIVE;1;2016
1003900;ISALIVE;1;2017
1003900;ISALIVE;1;2018
1003900;ISALIVE;1;2019
1003900;ISALIVE;1;2020
1003900;ISALIVE;1;2021
1003900;ISALIVE;1;2022
1003902;ISALIVE;1;2014
1003902;ISALIVE;1;2015
1003902;ISALIVE;1;2016
1003902;ISALIVE;1;2017
1003902;ISALIVE;1;2018
1003902;ISALIVE;1;2019
1003902;ISALIVE;1;2020
1003902;ISALIVE;1;2021
1003902;ISALIVE;0;2022
1003905;ISALIVE;1;2015
1003905;ISALIVE;1;2016
1003905;ISALIVE;1;2017
1003905;ISALIVE;1;2018
1003905;ISALIVE;1;2019
1003905;ISALIVE;1;2020
1003905;ISALIVE;1;2021
1003905;ISALIVE;1;2022
1003913;ISALIVE;1;2014
1003913;ISALIVE;1;2015
1003913;ISALIVE;1;2016
1003913;ISALIVE;1;2017
1003913;ISALIVE;1;2018
1003913;ISALIVE;1;2019
1003913;ISALIVE;1;2020
1003913;ISALIVE;1;2021
1003913;ISALIVE;1;2022
1003918;ISALIVE;1;2014
1003918;ISALIVE;1;2015
