S_CUSTNO;COGNITIONSOURCE;MAINTENANCE;I_YEAR
1000096;MAINTENANCE;622;2014
1000096;MAINTENANCE;648;2015
1000096;MAINTENANCE;673;2016
1002955;MAINTENANCE;398;2014
1002955;MAINTENANCE;475;2015
1002955;MAINTENANCE;494;2016
1002955;MAINTENANCE;525;2017
1002955;MAINTENANCE;1.111;2018
1002955;MAINTENANCE;839;2019
1002955;MAINTENANCE;271;2020
1002994;MAINTENANCE;1.283;2014
1002994;MAINTENANCE;1.335;2015
1002994;MAINTENANCE;1.387;2016
1002994;MAINTENANCE;1.497;2017
1002994;MAINTENANCE;3.170;2018
1002994;MAINTENANCE;1.616;2019
1002994;MAINTENANCE;3.432;2020
1002994;MAINTENANCE;1.749;2021
1002994;MAINTENANCE;1.659;2022
1003759;MAINTENANCE;2.451;2014
1003759;MAINTENANCE;2.523;2015
1003759;MAINTENANCE;2.617;2016
1003759;MAINTENANCE;2.617;2017
1003759;MAINTENANCE;5.448;2018
1003759;MAINTENANCE;2.797;2019
1003759;MAINTENANCE;5.957;2020
1003759;MAINTENANCE;3.100;2021
1003759;MAINTENANCE;3.155;2022
1003900;MAINTENANCE;488;2014
1003900;MAINTENANCE;669;2015
1003900;MAINTENANCE;636;2016
1003900;MAINTENANCE;444;2017
1003900;MAINTENANCE;940;2018
1003900;MAINTENANCE;479;2019
1003900;MAINTENANCE;648;2020
1003900;MAINTENANCE;168;2021
1003900;MAINTENANCE;171;2022
1003902;MAINTENANCE;481;2014
1003902;MAINTENANCE;502;2015
1003902;MAINTENANCE;521;2016
1003902;MAINTENANCE;521;2017
1003902;MAINTENANCE;1.103;2018
1003902;MAINTENANCE;1.136;2019
1003902;MAINTENANCE;1.158;2020
1003902;MAINTENANCE;801;2021
1003902;MAINTENANCE;218;2022
1003905;MAINTENANCE;166;2015
1003905;MAINTENANCE;340;2016
1003905;MAINTENANCE;173;2017
1003905;MAINTENANCE;180;2018
1003905;MAINTENANCE;186;2019
1003905;MAINTENANCE;380;2020
1003905;MAINTENANCE;193;2021
1003905;MAINTENANCE;197;2022
1003913;MAINTENANCE;498;2014
1003913;MAINTENANCE;519;2015
1003913;MAINTENANCE;539;2016
1003913;MAINTENANCE;539;2017
1003913;MAINTENANCE;1.141;2018
1003913;MAINTENANCE;1.176;2019
1003913;MAINTENANCE;1.198;2020
1003913;MAINTENANCE;605;2021
1003913;MAINTENANCE;616;2022
1003918;MAINTENANCE;807;2014
1003918;MAINTENANCE;1.074;2015
1003918;MAINTENANCE;1.321;2016
1003918;MAINTENANCE;1.101;2017
1003918;MAINTENANCE;2.105;2018
1003918;MAINTENANCE;1.244;2019
1003918;MAINTENANCE;2.932;2020
1003918;MAINTENANCE;1.601;2021
1003918;MAINTENANCE;4.482;2022
1003920;MAINTENANCE;604;2014
1003920;MAINTENANCE;630;2015
1003920;MAINTENANCE;654;2016
1003920;MAINTENANCE;654;2017
1003920;MAINTENANCE;1.385;2018
1003920;MAINTENANCE;1.519;2019
1003920;MAINTENANCE;1.674;2020
1003920;MAINTENANCE;845;2021
1003920;MAINTENANCE;861;2022
1003922;MAINTENANCE;470;2014
1003922;MAINTENANCE;490;2015
1003922;MAINTENANCE;509;2016
1003922;MAINTENANCE;796;2017
1003922;MAINTENANCE;609;2018
1003922;MAINTENANCE;571;2019
1003922;MAINTENANCE;405;2020
1003922;MAINTENANCE;145;2021
1003922;MAINTENANCE;148;2022
1003924;MAINTENANCE;677;2014
1003924;MAINTENANCE;705;2015
1003924;MAINTENANCE;733;2016
1003924;MAINTENANCE;733;2017
1003924;MAINTENANCE;1.550;2018
1003924;MAINTENANCE;815;2019
1003924;MAINTENANCE;1.645;2020
1003924;MAINTENANCE;830;2021
1003924;MAINTENANCE;846;2022
1003926;MAINTENANCE;63;2015
1003928;MAINTENANCE;181;2014
1003928;MAINTENANCE;253;2015
1003928;MAINTENANCE;325;2016
