S_CUSTNO;COGNITIONSOURCE;I_CASES;I_YEAR
1000096;UHD;0;2014
1000096;UHD;4;2015
1000096;UHD;0;2016
1002955;UHD;5;2014
1002955;UHD;22;2015
1002955;UHD;41;2016
1002955;UHD;18;2017
1002955;UHD;13;2018
1002955;UHD;1;2019
1002955;UHD;1;2020
1002994;UHD;10;2014
1002994;UHD;36;2015
1002994;UHD;51;2016
1002994;UHD;50;2017
1002994;UHD;30;2018
1002994;UHD;49;2019
1002994;UHD;48;2020
1002994;UHD;39;2021
1002994;UHD;18;2022
1003759;UHD;30;2014
1003759;UHD;55;2015
1003759;UHD;71;2016
1003759;UHD;99;2017
1003759;UHD;95;2018
1003759;UHD;157;2019
1003759;UHD;82;2020
1003759;UHD;69;2021
1003759;UHD;24;2022
1003900;UHD;50;2014
1003900;UHD;128;2015
1003900;UHD;94;2016
1003900;UHD;61;2017
1003900;UHD;23;2018
1003900;UHD;48;2019
1003900;UHD;78;2020
1003900;UHD;7;2021
1003900;UHD;0;2022
1003902;UHD;6;2014
1003902;UHD;39;2015
1003902;UHD;57;2016
1003902;UHD;72;2017
1003902;UHD;44;2018
1003902;UHD;66;2019
1003902;UHD;53;2020
1003902;UHD;27;2021
1003902;UHD;2;2022
1003905;UHD;8;2015
1003905;UHD;27;2016
1003905;UHD;28;2017
1003905;UHD;44;2018
1003905;UHD;35;2019
1003905;UHD;39;2020
1003905;UHD;15;2021
1003905;UHD;2;2022
1003913;UHD;30;2014
1003913;UHD;88;2015
1003913;UHD;106;2016
1003913;UHD;89;2017
1003913;UHD;74;2018
1003913;UHD;121;2019
1003913;UHD;113;2020
1003913;UHD;71;2021
1003913;UHD;17;2022
1003918;UHD;20;2014
1003918;UHD;89;2015
1003918;UHD;92;2016
1003918;UHD;45;2017
1003918;UHD;39;2018
1003918;UHD;53;2019
1003918;UHD;55;2020
1003918;UHD;77;2021
1003918;UHD;10;2022
1003920;UHD;8;2014
1003920;UHD;33;2015
1003920;UHD;47;2016
1003920;UHD;20;2017
1003920;UHD;18;2018
1003920;UHD;41;2019
1003920;UHD;25;2020
1003920;UHD;31;2021
1003920;UHD;2;2022
1003922;UHD;18;2014
1003922;UHD;14;2015
1003922;UHD;50;2016
1003922;UHD;32;2017
1003922;UHD;31;2018
1003922;UHD;31;2019
1003922;UHD;41;2020
1003922;UHD;43;2021
1003922;UHD;5;2022
1003924;UHD;4;2014
1003924;UHD;13;2015
1003924;UHD;16;2016
1003924;UHD;15;2017
1003924;UHD;16;2018
1003924;UHD;14;2019
1003924;UHD;23;2020
1003924;UHD;7;2021
1003924;UHD;6;2022
1003926;UHD;0;2015
1003928;UHD;0;2014
1003928;UHD;11;2015
1003928;UHD;1;2016
1003928;UHD;4;2017
1003928;UHD;4;2018
1003928;UHD;2;2019
1003928;UHD;10;2020
1003928;UHD;3;2021
1003928;UHD;1;2022
1003930;UHD;5;2015
1003930;UHD;10;2016
1003930;UHD;37;2017
1003930;UHD;20;2018
1003930;UHD;25;2019
1003930;UHD;12;2020
1003930;UHD;16;2021
1003930;UHD;4;2022
1003931;UHD;7;2014
1003931;UHD;34;2015
1003931;UHD;33;2016
1003931;UHD;51;2017
1003931;UHD;42;2018
1003931;UHD;40;2019
1003931;UHD;1;2020
1003931;UHD;1;2021
1003931;UHD;0;2022
1003934;UHD;30;2014
1003934;UHD;51;2015
1003934;UHD;109;2016
1003938;UHD;14;2014
1003938;UHD;25;2015
1003938;UHD;24;2016
1003938;UHD;17;2017
1003938;UHD;38;2018
1003938;UHD;56;2019
1003938;UHD;57;2020
1003938;UHD;66;2021
1003938;UHD;28;2022
1003944;UHD;35;2014
1003944;UHD;92;2015
1003944;UHD;96;2016
1003944;UHD;80;2017
1003944;UHD;65;2018
1003944;UHD;111;2019
1003944;UHD;167;2020
1003944;UHD;163;2021
1003944;UHD;55;2022
1003948;UHD;2;2014
1003948;UHD;12;2015
1003948;UHD;20;2016
1003948;UHD;46;2017
1003948;UHD;29;2018
1003948;UHD;56;2019
1003948;UHD;20;2020
1003948;UHD;83;2021
1003948;UHD;8;2022
1003950;UHD;8;2015
1003950;UHD;17;2016
1003950;UHD;23;2017
1003950;UHD;21;2018
1003950;UHD;12;2019
1003950;UHD;15;2020
1003950;UHD;13;2021
1003950;UHD;2;2022
1003956;UHD;31;2014
1003956;UHD;43;2015
1003956;UHD;76;2016
1003956;UHD;66;2017
1003956;UHD;56;2018
1003956;UHD;135;2019
1003956;UHD;175;2020
1003956;UHD;157;2021
1003956;UHD;53;2022
1003960;UHD;22;2014
1003962;UHD;0;2015
1003962;UHD;12;2016
1003962;UHD;4;2017
1003963;UHD;6;2015
1003963;UHD;24;2016
1003963;UHD;27;2017
1003963;UHD;24;2018
1003963;UHD;29;2019
1003963;UHD;28;2020
1003963;UHD;21;2021
1003963;UHD;1;2022
1003965;UHD;7;2014
1003965;UHD;16;2015
1003965;UHD;53;2016
1003965;UHD;41;2017
1003965;UHD;41;2018
1003965;UHD;21;2019
1003971;UHD;55;2014
1003971;UHD;130;2015
1003971;UHD;114;2016
1003971;UHD;86;2017
1003971;UHD;91;2018
1003971;UHD;119;2019
1003971;UHD;124;2020
1003971;UHD;140;2021
1003971;UHD;21;2022
1003972;UHD;65;2014
1003972;UHD;156;2015
1003972;UHD;162;2016
1003972;UHD;126;2017
1003972;UHD;82;2018
1003972;UHD;128;2019
1003972;UHD;139;2020
1003972;UHD;147;2021
1003972;UHD;40;2022
1003973;UHD;12;2015
1003973;UHD;69;2016
1003973;UHD;19;2017
1003973;UHD;31;2018
1003973;UHD;80;2019
1003973;UHD;50;2020
1003973;UHD;42;2021
1003973;UHD;8;2022
1003974;UHD;12;2014
1003974;UHD;35;2015
1003976;UHD;5;2014
1003976;UHD;17;2015
1003976;UHD;38;2016
1003976;UHD;34;2017
1003976;UHD;7;2018
1003976;UHD;29;2019
1003976;UHD;40;2020
1003976;UHD;33;2021
1003976;UHD;26;2022
1003980;UHD;3;2015
1003980;UHD;24;2016
1003980;UHD;32;2017
1003980;UHD;21;2018
1003980;UHD;15;2019
1003980;UHD;4;2020
1003980;UHD;8;2021
1003980;UHD;0;2022
1003981;UHD;25;2014
1003981;UHD;65;2015
1003981;UHD;68;2016
1003981;UHD;53;2017
1003981;UHD;76;2018
1003981;UHD;11;2019
1003982;UHD;0;2014
1003982;UHD;2;2015
1003982;UHD;3;2016
1003982;UHD;4;2017
1003982;UHD;2;2018
1003982;UHD;4;2019
1003982;UHD;2;2020
1003982;UHD;2;2021
1003982;UHD;1;2022
1003987;UHD;20;2014
1003987;UHD;59;2015
1003987;UHD;72;2016
1003987;UHD;79;2017
1003987;UHD;104;2018
1003987;UHD;123;2019
1003987;UHD;138;2020
1003987;UHD;154;2021
1003987;UHD;38;2022
1003990;UHD;13;2014
1003990;UHD;63;2015
1003990;UHD;31;2016
1003990;UHD;20;2017
1003990;UHD;34;2018
1003990;UHD;44;2019
1003990;UHD;22;2020
1003990;UHD;22;2021
1003990;UHD;2;2022
1003992;UHD;104;2014
1003992;UHD;263;2015
1003992;UHD;156;2016
1003992;UHD;124;2017
1003992;UHD;134;2018
1003992;UHD;112;2019
1003992;UHD;120;2020
1003992;UHD;61;2021
1003992;UHD;22;2022
1003994;UHD;0;2014
1003994;UHD;12;2015
1003994;UHD;10;2016
1003994;UHD;2;2017
1003994;UHD;4;2018
1003994;UHD;2;2019
1003994;UHD;0;2020
